severity,NOP_method,ATFD_method,ATLD_method,MAXNESTING_method,LOC_method,MaMCL_method,LAA_method,FANOUT_method,CLNAMM_method,CDISP_method,isStatic_method,DIT_type,FANOUT_type,LCOM5_type,NIM_type,NOAM_type,NOA_type,NOII_type,NOI_package,NOMNAMM_package,NOM_project,NOPK_project,RFC_type,TCC_type,WOC_type,modifier_type,num_not_final_not_static_attributes,number_constructor_DefaultConstructor_methods,number_not_abstract_not_final_methods,number_not_final_static_methods,number_private_visibility_attributes,number_protected_visibility_methods,visibility_type
0,0,0,1,1,3,0,1,1,1,1,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,0,0,1,1,3,0,1,1,1,1,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,1,0,0,1,5,0,0,1,0,1,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,1,2,0,2,11,0,0,0,1,0,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,1,2,0,2,11,0,0,0,1,0,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,1,2,0,2,11,0,0,0,0,0,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
1,0,5,2,3,29,0,0.285714286,1,0,0.333333333,0,3,1,0,32,0,3,0,0,72,254,2,52,1,0.25,other,3,0,1,0,0,0,public
0,2,0,0,1,3,0,0,1,0,1,0,4,1,0,15,0,0,0,1,100,245,4,9,1,1,other,0,0,4,0,0,0,public
0,4,0,0,1,3,0,0,1,0,1,0,4,1,0,15,0,0,0,1,100,245,4,9,1,1,other,0,0,4,0,0,0,public
0,2,0,0,1,3,0,0,1,0,1,0,4,1,0,15,0,0,0,1,100,245,4,9,1,1,other,0,0,4,0,0,0,public
0,3,0,0,1,3,0,0,1,0,1,0,4,1,0,15,0,0,0,1,100,245,4,9,1,1,other,0,0,4,0,0,0,public
2,0,10,5,3,33,0,0.294117647,5,3,0.833333333,0,1,25,0.723214286,0,0,4,1,1,100,245,4,87,1,1,other,4,0,29,6,1,0,public
2,5,9,2,4,48,0,0.166666667,1,6,0.333333333,0,1,25,0.723214286,0,0,4,1,1,100,245,4,87,1,1,other,4,0,29,6,1,0,public
3,1,56,24,6,523,0,0.3,7,6,0.368421053,0,1,25,0.723214286,0,0,4,1,1,100,245,4,87,1,1,other,4,0,29,6,1,0,public
3,2,83,2,6,257,0,0.023529412,3,4,0.6,0,1,4,0.666666667,0,0,2,0,0,54,245,4,44,1,1,other,2,0,31,1,0,0,public
0,1,0,0,1,5,0,0,0,0,0,0,2,0,0,11,0,0,0,0,5,541,11,21,0,1,other,0,1,3,0,0,0,public
0,1,0,0,1,4,0,0,0,0,0,0,2,0,0,11,0,0,0,0,5,541,11,21,0,1,other,0,1,3,0,0,0,public
0,0,0,0,1,3,0,0,0,0,0,0,2,2,0,7,0,0,0,0,5,541,11,15,0,1,other,0,0,3,0,0,0,public
0,0,0,1,1,4,0,1,0,0,0,0,1,3,0.971794872,0,39,20,0,0,27,541,11,58,0.087179487,0.025,other,19,1,41,0,20,0,public
2,7,9,1,5,176,0,0.1,3,2,0.428571429,1,1,5,1,0,0,1,0,1,60,541,11,31,0.784313725,1,other,0,0,18,18,1,0,public
0,0,0,0,2,18,0,0,1,0,1,0,5,2,0,72,0,0,0,0,28,502,4,6,1,1,other,0,0,3,1,0,0,public
0,4,1,0,2,27,0,0,1,1,0.5,0,5,2,0,72,0,0,0,0,28,502,4,6,1,1,other,0,0,3,1,0,0,public
0,0,1,0,3,12,0,0,1,0,0.5,1,5,2,0,72,0,0,0,0,28,502,4,6,1,1,other,0,0,3,1,0,0,public
0,0,0,4,1,7,0,1,1,0,1,0,1,1,0.937304075,0,6,11,1,0,28,502,4,31,0.261083744,0.8,other,6,0,30,0,0,0,public
0,2,0,0,1,4,0,0,0,1,0,0,1,1,0.937304075,0,6,11,1,0,28,502,4,31,0.261083744,0.8,other,6,0,30,0,0,0,public
0,2,0,4,3,30,0,1,0,0,0,0,1,1,0.937304075,0,6,11,1,0,28,502,4,31,0.261083744,0.8,other,6,0,30,0,0,0,public
2,3,15,15,7,206,0,0.428571429,5,12,0.454545455,0,1,11,0.949275362,0,9,48,2,5,277,502,4,77,0.493589744,0.709677419,other,24,1,41,0,13,9,public
0,3,0,4,7,111,0,1,2,4,0.333333333,1,1,2,0.9,0,0,5,0,5,277,502,4,17,0.3,0,other,0,0,7,7,5,0,package
2,1,19,2,1,7,0,0.095238095,1,1,1,0,2,8,0.989966555,8,15,26,1,5,277,502,4,41,0.177865613,0.285714286,other,7,0,24,0,1,3,public
2,1,33,0,7,142,0,0,7,9,0.333333333,0,1,9,0.882352941,0,0,2,1,5,277,502,4,61,0.269230769,1,other,0,1,19,0,2,12,public
0,1,0,0,3,18,0,0,1,1,1,1,1,10,0,0,0,0,0,4,106,585,3,15,0,1,other,0,0,4,4,0,0,public
0,0,0,0,1,8,0,0,0,1,0,1,1,10,0,0,0,0,0,4,106,585,3,15,0,1,other,0,0,4,4,0,0,public
0,0,0,0,2,14,0,0,0,0,0,1,1,10,0,0,0,0,0,4,106,585,3,15,0,1,other,0,0,4,4,0,0,public
0,1,0,0,2,31,0,0,9,0,0.9,1,1,10,0,0,0,0,0,4,106,585,3,15,0,1,other,0,0,4,4,0,0,public
1,1,5,0,3,22,0,0,1,0,0.5,0,1,3,1,0,1,3,1,5,451,585,3,18,0,0.888888889,final,3,0,2,0,3,0,protected
0,2,0,5,5,79,0,1,4,1,1,0,2,4,0.6,14,0,5,0,0,34,629,13,34,0.5,1,other,4,0,4,0,5,2,public
0,0,0,2,3,15,0,1,0,0,0,0,2,4,0.6,14,0,5,0,0,34,629,13,34,0.5,1,other,4,0,4,0,5,2,public
0,1,0,4,2,12,0,1,0,0,0,0,2,4,0.6,14,0,5,0,0,34,629,13,34,0.5,1,other,4,0,4,0,5,2,public
0,0,0,0,1,3,0,0,0,0,0,0,2,4,0.6,14,0,5,0,0,34,629,13,34,0.5,1,other,4,0,4,0,5,2,public
0,1,2,0,3,32,0,0,1,0,1,0,1,1,0,0,0,0,1,0,34,629,13,2,1,0,other,0,1,2,0,0,0,package
0,3,0,7,6,134,0,0.636363636,1,13,1,0,2,5,0.95371669,0,9,23,3,0,101,629,13,77,0.383503401,0,abstract,14,0,55,1,4,19,public
0,3,3,7,6,122,0,0.5,2,10,0.5,0,2,5,0.95371669,0,9,23,3,0,101,629,13,77,0.383503401,0,abstract,14,0,55,1,4,19,public
0,0,0,0,1,3,0,0,1,0,1,0,1,1,0.3,0,0,1,0,0,16,641,14,12,0.622222222,1,other,1,0,2,0,1,0,public
0,1,0,1,2,6,0,1,0,0,0,0,1,1,0.3,0,0,1,0,0,16,641,14,12,0.622222222,1,other,1,0,2,0,1,0,public
0,1,0,1,2,10,0,1,0,0,0,0,1,1,0.3,0,0,1,0,0,16,641,14,12,0.622222222,1,other,1,0,2,0,1,0,public
2,2,10,2,6,181,0,0.166666667,9,1,0.375,0,1,12,0.866666667,0,1,5,0,4,112,641,14,38,0.2,0.75,other,5,0,4,0,5,2,public
2,1,14,1,8,110,2,0.066666667,7,0,0.388888889,0,1,7,0.833333333,0,0,1,3,0,45,641,14,25,0.066666667,1,other,1,0,7,0,1,0,private
0,4,1,3,3,22,0,0.75,1,1,1,0,1,4,0.825,0,0,5,0,0,26,689,3,13,1,1,other,3,0,9,2,5,0,public
0,1,1,3,2,18,0,0.75,1,0,1,0,1,4,0.825,0,0,5,0,0,26,689,3,13,1,1,other,3,0,9,2,5,0,public
0,0,0,1,2,13,0,1,0,0,0,0,1,4,0.825,0,0,5,0,0,26,689,3,13,1,1,other,3,0,9,2,5,0,public
0,3,0,1,2,13,0,1,0,2,0,0,1,4,0.825,0,0,5,0,0,26,689,3,13,1,1,other,3,0,9,2,5,0,public
1,2,6,1,5,23,0,0.142857143,1,0,0.166666667,0,1,2,0.803921569,0,6,6,0,16,463,689,3,40,0.428571429,0.666666667,other,6,0,18,0,6,0,public
0,1,1,2,1,5,0,0.666666667,1,0,1,0,6,2,0,45,0,0,0,0,159,780,3,18,0,1,final,0,0,5,0,0,3,public
0,0,0,1,1,3,0,1,0,0,0,0,6,2,0,45,0,0,0,0,159,780,3,18,0,1,final,0,0,5,0,0,3,public
0,0,0,1,1,3,0,1,0,0,0,0,6,2,0,45,0,0,0,0,159,780,3,18,0,1,final,0,0,5,0,0,3,public
0,0,0,1,1,3,0,1,0,0,0,0,6,2,0,45,0,0,0,0,159,780,3,18,0,1,final,0,0,5,0,0,3,public
0,0,0,0,1,3,0,0,1,0,1,0,6,2,0,45,0,0,0,0,159,780,3,18,0,1,final,0,0,5,0,0,3,public
0,0,4,20,6,119,0,0.833333333,2,4,1,0,3,14,0.997379813,52,1,66,1,4,408,780,3,157,0.938942308,0.084507042,other,1,0,9,0,1,63,public
0,2,0,3,1,6,0,1,0,0,0,0,1,6,1,0,0,6,1,1,41,713,4,23,0,1,other,6,0,7,0,0,0,public
2,5,15,0,2,17,0,0,1,0,0.2,0,1,1,0,0,0,0,1,0,385,713,4,6,1,1,other,0,1,2,0,0,0,package
0,2,0,2,1,4,0,1,0,0,0,0,1,0,0.933333333,0,0,3,0,0,11,808,7,11,1,1,other,1,0,11,1,3,0,public
0,1,0,1,1,8,0,1,0,1,0,0,1,0,0.933333333,0,0,3,0,0,11,808,7,11,1,1,other,1,0,11,1,3,0,public
0,1,0,1,1,7,0,1,0,0,0,0,1,0,0.933333333,0,0,3,0,0,11,808,7,11,1,1,other,1,0,11,1,3,0,public
0,1,0,1,1,10,0,1,0,0,0,0,1,0,0.933333333,0,0,3,0,0,11,808,7,11,1,1,other,1,0,11,1,3,0,public
0,1,0,1,2,23,0,1,0,0,0,0,1,0,0.933333333,0,0,3,0,0,11,808,7,11,1,1,other,1,0,11,1,3,0,public
0,2,10,0,6,50,0,0,1,2,0.2,1,3,8,0,25,0,0,0,1,133,808,7,79,1,0,other,0,0,17,17,0,0,public
2,0,19,15,8,413,0,0.394736842,11,7,0.47826087,1,2,14,0.71875,20,0,4,0,1,399,808,7,60,0.533333333,0.8,other,0,0,9,9,1,0,public
0,4,0,0,1,5,0,0,1,1,1,0,7,7,0.89375,0,0,10,2,1,165,703,7,39,0.363636364,0,abstract,10,0,15,0,10,4,public
0,4,0,0,1,5,0,0,1,1,1,0,7,7,0.89375,0,0,10,2,1,165,703,7,39,0.363636364,0,abstract,10,0,15,0,10,4,public
0,1,0,0,1,4,0,0,0,2,0,0,7,7,0.89375,0,0,10,2,1,165,703,7,39,0.363636364,0,abstract,10,0,15,0,10,4,public
0,1,0,0,1,4,0,0,0,2,0,0,7,7,0.89375,0,0,10,2,1,165,703,7,39,0.363636364,0,abstract,10,0,15,0,10,4,public
0,1,7,9,6,270,0,0.642857143,11,10,0.5,1,1,17,0.959935897,0,1,16,0,1,154,703,7,94,0.23968254,0.921052632,other,0,0,31,29,14,0,public
2,7,9,3,8,402,0,0.25,2,4,0.666666667,0,1,5,0.866666667,0,5,4,1,2,154,703,7,24,0.714285714,0.5,other,3,0,16,0,4,0,public
0,1,0,0,1,6,0,0,1,1,1,0,2,1,0,6,0,0,0,0,20,1031,28,11,0,1,other,0,1,3,0,0,0,public
0,1,0,0,1,3,0,0,0,0,0,0,2,1,0,6,0,0,0,0,20,1031,28,11,0,1,other,0,1,3,0,0,0,public
0,1,0,0,1,6,0,0,1,0,1,0,2,1,0,6,0,0,0,0,20,1031,28,10,1,1,other,0,1,2,0,0,0,public
0,1,0,1,1,4,0,1,0,0,0,0,3,2,0.75,18,2,4,0,3,56,1064,18,27,0.6,0.6,other,4,0,5,0,4,0,public
0,1,0,1,1,4,0,1,0,0,0,0,3,2,0.75,18,2,4,0,3,56,1064,18,27,0.6,0.6,other,4,0,5,0,4,0,public
0,3,0,2,1,6,0,1,1,0,1,0,3,2,0.75,18,2,4,0,3,56,1064,18,27,0.6,0.6,other,4,0,5,0,4,0,public
0,0,0,2,4,29,0,1,2,0,1,0,3,2,0.75,18,2,4,0,3,56,1064,18,27,0.6,0.6,other,4,0,5,0,4,0,public
0,3,0,0,6,160,0,0,0,0,0,1,1,1,0,0,0,0,0,4,78,1064,18,5,0,1,final,0,0,4,3,0,0,public
0,2,0,1,1,6,0,1,0,0,0,0,3,0,1,63,0,1,0,0,78,1199,9,2,1,1,other,1,0,2,0,1,1,public
0,1,0,1,1,8,0,1,0,0,0,0,3,0,1,63,0,1,0,0,78,1199,9,2,1,1,other,1,0,2,0,1,1,public
0,1,0,4,6,74,0,1,0,2,0,0,1,23,0.896551724,0,6,8,5,0,78,1199,9,69,0.636842105,0.535714286,other,8,0,30,0,0,1,public
0,0,0,1,1,4,0,1,0,0,0,0,1,23,0.896551724,0,6,8,5,0,78,1199,9,69,0.636842105,0.535714286,other,8,0,30,0,0,1,public
0,0,0,2,1,12,0,1,1,1,1,0,1,23,0.896551724,0,6,8,5,0,78,1199,9,69,0.636842105,0.535714286,other,8,0,30,0,0,1,public
1,3,4,2,8,244,0,0.333333333,10,5,1,0,1,23,0.896551724,0,6,8,5,0,78,1199,9,69,0.636842105,0.535714286,other,8,0,30,0,0,1,public
2,1,7,3,8,208,0,0.3,12,1,0.8,0,1,23,0.896551724,0,6,8,5,0,78,1199,9,69,0.636842105,0.535714286,other,8,0,30,0,0,1,public
0,4,1,1,6,120,0,0.5,5,3,0.714285714,0,1,26,0.863787375,0,3,7,1,0,78,1199,9,95,0.685606061,0.914285714,other,6,0,44,0,7,0,public
0,1,0,1,1,6,0,1,0,0,0,1,2,3,0.683333333,3,0,5,0,0,38,1278,16,19,0.755555556,1,other,4,0,13,2,5,0,public
0,1,0,1,1,3,0,1,0,0,0,1,2,3,0.683333333,3,0,5,0,0,38,1278,16,19,0.755555556,1,other,4,0,13,2,5,0,public
0,2,0,2,1,6,0,1,0,0,0,0,2,3,0.683333333,3,0,5,0,0,38,1278,16,19,0.755555556,1,other,4,0,13,2,5,0,public
0,0,0,1,2,5,0,1,0,1,0,0,2,3,0.683333333,3,0,5,0,0,38,1278,16,19,0.755555556,1,other,4,0,13,2,5,0,public
0,4,0,8,3,98,0,1,2,2,1,0,1,6,0.92364532,0,22,14,0,1,103,1278,16,36,0.192118227,0.24137931,other,14,0,30,0,14,0,public
2,1,10,2,3,84,0,0.166666667,6,1,0.461538462,0,1,7,0.75,0,0,2,0,0,38,1278,16,25,0.142857143,1,other,1,0,7,0,2,2,public
0,3,0,0,1,7,0,0,3,1,1,1,1,14,0.866666667,0,0,1,0,1,25,1271,10,42,0.622222222,1,final,0,0,16,15,1,0,public
0,3,0,0,1,7,0,0,3,1,1,1,1,14,0.866666667,0,0,1,0,1,25,1271,10,42,0.622222222,1,final,0,0,16,15,1,0,public
0,3,0,0,3,20,0,0,1,1,1,1,1,14,0.866666667,0,0,1,0,1,25,1271,10,42,0.622222222,1,final,0,0,16,15,1,0,public
0,3,0,0,2,10,0,0,1,1,1,1,1,14,0.866666667,0,0,1,0,1,25,1271,10,42,0.622222222,1,final,0,0,16,15,1,0,public
0,1,0,4,6,80,0,1,4,3,0.666666667,0,4,5,0.891666667,0,9,8,0,0,32,1271,10,27,0.20952381,0,abstract,6,0,8,0,8,10,public
0,3,0,3,6,147,0,1,2,3,0.285714286,0,1,3,0.642857143,0,0,7,0,0,124,1271,10,22,1,0,final,0,0,9,1,7,0,package
0,1,4,8,7,164,0,0.666666667,13,6,0.684210526,0,1,23,0.811111111,0,0,9,1,0,247,1271,10,82,0.405797101,1,final,2,0,31,0,8,0,public
0,3,0,1,1,4,0,1,0,0,0,0,4,1,1,45,0,1,0,0,7,1302,15,7,0,1,other,0,0,6,0,1,1,public
0,1,0,0,2,7,0,0,0,1,0,0,4,1,1,45,0,1,0,0,7,1302,15,7,0,1,other,0,0,6,0,1,1,public
0,1,0,0,2,7,0,0,0,1,0,0,4,1,1,45,0,1,0,0,7,1302,15,7,0,1,other,0,0,6,0,1,1,public
0,2,0,0,3,19,0,0,1,0,1,0,4,1,1,45,0,1,0,0,7,1302,15,7,0,1,other,0,0,6,0,1,1,public
0,4,6,5,1,13,0,0.454545455,1,1,1,0,1,7,0.825892857,0,2,14,0,0,37,1404,12,49,0.722222222,0.75,other,19,0,17,1,10,0,public
0,0,4,7,2,20,0,0.636363636,1,0,1,0,1,7,0.825892857,0,2,14,0,0,37,1404,12,49,0.722222222,0.75,other,19,0,17,1,10,0,public
0,0,3,7,3,40,0,0.7,1,1,0.5,0,1,7,0.825892857,0,2,14,0,0,37,1404,12,49,0.722222222,0.75,other,19,0,17,1,10,0,public
2,2,29,2,5,108,0,0.064516129,3,2,0.230769231,0,1,7,0.825892857,0,2,14,0,0,37,1404,12,49,0.722222222,0.75,other,19,0,17,1,10,0,public
2,1,17,5,5,136,0,0.227272727,2,3,0.153846154,0,1,7,0.825892857,0,2,14,0,0,37,1404,12,49,0.722222222,0.75,other,19,0,17,1,10,0,public
2,2,15,0,4,120,0,0,5,0,0.294117647,0,2,5,1,26,2,3,0,0,274,1404,12,88,0,0.6,other,0,0,6,1,3,0,public
0,4,0,15,11,406,0,1,0,0,0,1,1,0,0.987878788,0,0,15,0,0,68,1404,12,12,0.681818182,1,final,0,0,2,2,0,0,public
0,1,0,2,1,4,0,1,0,0,0,0,1,18,1,0,0,15,0,0,30,1450,15,107,1,1,other,1,0,16,1,14,0,public
0,0,0,1,1,3,0,1,0,0,0,0,1,18,1,0,0,15,0,0,30,1450,15,107,1,1,other,1,0,16,1,14,0,public
0,2,0,2,2,20,0,1,0,2,0,0,1,18,1,0,0,15,0,0,30,1450,15,107,1,1,other,1,0,16,1,14,0,public
3,1,35,7,7,143,0,0.166666667,5,4,0.192307692,0,1,18,1,0,0,15,0,0,30,1450,15,107,1,1,other,1,0,16,1,14,0,public
2,1,12,1,10,102,0,0.076923077,4,0,0.222222222,0,1,18,1,0,0,15,0,0,30,1450,15,107,1,1,other,1,0,16,1,14,0,public
2,0,24,2,8,374,0,0.076923077,8,3,0.363636364,0,1,8,0.75,0,1,4,0,0,263,1450,15,33,1,1,other,4,0,6,0,4,0,public
0,2,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,12,1447,21,3,0,1,other,0,1,3,0,0,0,public
0,7,0,0,1,6,0,0,1,0,1,0,1,1,0,0,0,0,1,0,12,1447,21,3,0,1,other,0,1,3,0,0,0,public
0,0,0,2,1,5,0,1,0,1,0,0,1,2,0,0,0,2,1,0,12,1447,21,6,1,1,other,4,0,4,0,4,0,public
0,2,0,2,1,7,0,1,1,1,1,0,1,2,0,0,0,2,1,0,12,1447,21,6,1,1,other,4,0,4,0,4,0,public
0,0,0,4,1,4,0,1,0,0,0,0,1,2,0,0,0,2,1,0,12,1447,21,6,1,1,other,4,0,4,0,4,0,public
0,2,2,4,7,241,0,0.666666667,2,1,1,0,1,3,0.5,0,3,4,0,0,89,1447,21,21,0.933333333,0.625,other,4,0,12,1,4,0,public
2,2,11,2,2,38,0,0.153846154,5,1,0.277777778,0,1,6,0.625,0,0,4,1,0,94,1447,21,31,1,1,other,4,0,5,0,4,1,public
0,12,3,9,6,214,0,0.5625,4,5,0.571428571,0,1,11,0.905555556,0,0,15,1,0,37,1447,21,44,0.666666667,1,other,5,0,13,7,15,0,public
0,5,5,13,6,102,0,0.619047619,6,1,0.4,0,1,16,0.87037037,0,0,27,1,0,27,1447,21,56,1,1,other,27,0,7,0,27,0,public
0,1,0,1,1,3,0,1,0,0,0,0,1,9,0.863636364,0,0,2,0,0,112,1593,30,34,0.890909091,1,other,1,0,12,0,1,1,public
0,2,8,14,6,205,0,0.777777778,5,10,0.3125,0,3,13,0.894965278,31,8,16,0,1,281,1593,30,178,0.47144075,0.875,other,14,0,73,0,15,0,public
0,1,0,0,1,6,0,0,2,0,1,0,1,3,1,0,2,3,0,1,34,1475,19,12,0,0.75,other,3,0,9,0,3,0,public
0,1,0,0,1,6,0,0,2,0,1,0,1,3,1,0,2,3,0,1,34,1475,19,12,0,0.75,other,3,0,9,0,3,0,public
0,2,2,0,1,7,0,0,0,0,0,0,1,3,1,0,2,3,0,1,34,1475,19,12,0,0.75,other,3,0,9,0,3,0,public
0,0,1,0,1,4,0,0,1,0,1,0,1,3,1,0,2,3,0,1,34,1475,19,12,0,0.75,other,3,0,9,0,3,0,public
1,3,6,0,2,18,0,0,2,0,1,0,2,10,1,0,2,11,3,2,432,1475,19,53,0,0,abstract,9,0,31,0,10,0,public
2,4,7,0,1,20,0,0,1,0,1,0,1,6,1,0,0,8,1,0,293,1475,19,21,0,1,other,8,0,13,0,8,0,package
0,1,0,1,1,4,0,1,1,0,1,0,1,2,0.142857143,0,0,1,1,3,130,1805,26,16,1,1,final,1,0,8,0,1,0,package
0,0,0,1,1,4,0,1,1,0,1,0,1,2,0.142857143,0,0,1,1,3,130,1805,26,16,1,1,final,1,0,8,0,1,0,package
0,0,0,1,1,4,0,1,1,0,1,0,1,2,0.142857143,0,0,1,1,3,130,1805,26,16,1,1,final,1,0,8,0,1,0,package
0,0,0,1,2,16,0,1,1,0,1,0,1,2,0.142857143,0,0,1,1,3,130,1805,26,16,1,1,final,1,0,8,0,1,0,package
0,1,0,7,8,284,0,0.466666667,5,4,0.263157895,0,1,7,0.895833333,0,0,6,1,3,64,1805,26,49,1,1,final,0,0,9,4,9,0,package
0,1,3,2,8,104,0,0.5,3,1,0.428571429,1,1,8,0.944444444,0,0,9,0,5,117,1805,26,42,0.114285714,0,abstract,0,0,23,22,7,0,public
2,2,10,2,2,51,0,0.166666667,4,0,0.571428571,0,2,4,1,3,0,2,0,0,105,1805,26,16,0.333333333,0,final,0,0,4,0,2,0,package
2,4,16,13,9,169,2,0.448275862,17,0,0.80952381,0,3,38,0.975913621,4,3,43,1,0,29,1805,26,154,0.80952381,0.875,final,4,0,28,7,44,0,public
2,4,12,11,6,159,0,0.523809524,15,0,0.416666667,0,2,19,0.733333333,0,0,10,1,10,137,1805,26,44,0.5,0,abstract,10,0,4,1,1,1,public
0,1,0,0,1,4,0,0,1,0,1,0,2,2,0,4,0,0,0,0,143,2118,22,22,1,1,final,0,0,2,0,0,0,public
0,0,0,0,1,3,0,0,1,0,1,0,3,2,1,6,0,1,0,0,143,2118,22,11,0,1,other,0,0,3,1,1,0,public
