severity,NOP_method,ATFD_method,MAXNESTING_method,LOC_method,LAA_method,FANOUT_method,CLNAMM_method,CDISP_method,isStatic_method,AMW_type,CBO_type,DIT_type,FANOUT_type,LCOM5_type,MaMCL_method,NIM_type,NOAM_type,NOII_type,NOI_package,NOMNAMM_package,NOM_project,NOPK_project,RFC_type,TCC_type,WMC_type,WOC_type,modifier_type,num_final_attributes,num_not_final_not_static_attributes,number_constructor_DefaultConstructor_methods,number_not_final_static_methods,number_package_visibility_attributes,number_private_visibility_attributes,number_protected_visibility_methods,number_static_methods,visibility_type
0,0,0,1,3,1,1,1,1,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,0,0,1,3,1,1,1,1,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,1,0,1,5,0,1,0,1,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,1,2,2,11,0,0,1,0,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,1,2,2,11,0,0,1,0,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,1,2,2,11,0,0,0,0,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,0,5,3,29,0.285714286,1,0,0.333333333,0,5,6,3,1,0,0,32,0,0,0,72,254,2,52,1,5,0.25,other,0,3,0,0,0,0,0,0,public
0,2,0,1,3,0,1,0,1,0,1,1,4,1,0,0,15,0,0,1,100,245,4,9,1,4,1,other,0,0,0,0,0,0,0,0,public
0,4,0,1,3,0,1,0,1,0,1,1,4,1,0,0,15,0,0,1,100,245,4,9,1,4,1,other,0,0,0,0,0,0,0,0,public
0,2,0,1,3,0,1,0,1,0,1,1,4,1,0,0,15,0,0,1,100,245,4,9,1,4,1,other,0,0,0,0,0,0,0,0,public
0,3,0,1,3,0,1,0,1,0,1,1,4,1,0,0,15,0,0,1,100,245,4,9,1,4,1,other,0,0,0,0,0,0,0,0,public
0,0,10,3,33,0.294117647,5,3,0.833333333,0,11.31034483,27,1,25,0.723214286,0,0,0,1,1,100,245,4,87,1,328,1,other,0,4,0,6,3,1,0,6,public
0,5,9,4,48,0.166666667,1,6,0.333333333,0,11.31034483,27,1,25,0.723214286,0,0,0,1,1,100,245,4,87,1,328,1,other,0,4,0,6,3,1,0,6,public
3,1,56,6,523,0.3,7,6,0.368421053,0,11.31034483,27,1,25,0.723214286,0,0,0,1,1,100,245,4,87,1,328,1,other,0,4,0,6,3,1,0,6,public
3,2,83,6,257,0.023529412,3,4,0.6,0,6.870967742,36,1,4,0.666666667,0,0,0,0,0,54,245,4,44,1,213,1,other,0,2,0,1,2,0,0,1,public
0,1,0,1,5,0,0,0,0,0,1,4,2,0,0,0,11,0,0,0,5,541,11,21,0,2,1,other,0,0,1,0,0,0,0,0,public
0,1,0,1,4,0,0,0,0,0,1,4,2,0,0,0,11,0,0,0,5,541,11,21,0,2,1,other,0,0,1,0,0,0,0,0,public
0,1,0,1,5,0,0,1,0,0,1.333333333,5,2,2,0,0,7,0,0,0,5,541,11,15,0,4,1,other,0,0,0,0,0,0,0,0,public
0,2,0,2,12,0,2,0,1,0,1.333333333,5,2,2,0,0,7,0,0,0,5,541,11,15,0,4,1,other,0,0,0,0,0,0,0,0,public
0,0,0,1,3,0,0,0,0,0,1.333333333,5,2,2,0,0,7,0,0,0,5,541,11,15,0,4,1,other,0,0,0,0,0,0,0,0,public
0,0,0,1,4,1,0,0,0,0,1,9,1,3,0.971794872,0,0,39,0,0,27,541,11,58,0.087179487,40,0.025,other,0,19,1,0,0,20,0,0,public
2,7,9,5,176,0.1,3,2,0.428571429,1,2.5,6,1,5,1,0,0,0,0,1,60,541,11,31,0.784313725,45,1,other,0,0,0,18,0,1,0,18,public
0,0,0,2,18,0,1,0,1,0,3.333333333,2,5,2,0,0,72,0,0,0,28,502,4,6,1,10,1,other,0,0,0,1,0,0,0,1,public
0,4,1,2,27,0,1,1,0.5,0,3.333333333,2,5,2,0,0,72,0,0,0,28,502,4,6,1,10,1,other,0,0,0,1,0,0,0,1,public
0,0,1,3,12,0,1,0,0.5,1,3.333333333,2,5,2,0,0,72,0,0,0,28,502,4,6,1,10,1,other,0,0,0,1,0,0,0,1,public
0,0,0,1,7,1,1,0,1,0,1.833333333,1,1,1,0.937304075,0,0,6,1,0,28,502,4,31,0.261083744,55,0.8,other,5,6,0,0,0,0,0,0,public
0,2,0,1,4,0,0,1,0,0,1.833333333,1,1,1,0.937304075,0,0,6,1,0,28,502,4,31,0.261083744,55,0.8,other,5,6,0,0,0,0,0,0,public
0,2,0,3,30,1,0,0,0,0,1.833333333,1,1,1,0.937304075,0,0,6,1,0,28,502,4,31,0.261083744,55,0.8,other,5,6,0,0,0,0,0,0,public
3,3,15,7,206,0.428571429,5,12,0.454545455,0,4.829787234,10,1,11,0.949275362,0,0,9,2,5,277,502,4,77,0.493589744,227,0.709677419,other,24,24,1,0,0,13,9,2,public
2,3,0,7,111,1,2,4,0.333333333,1,7.714285714,1,1,2,0.9,0,0,0,0,5,277,502,4,17,0.3,54,0,other,3,0,0,7,0,5,0,7,package
0,1,19,1,7,0.095238095,1,1,1,0,2.166666667,9,2,8,0.989966555,0,8,15,1,5,277,502,4,41,0.177865613,52,0.285714286,other,16,7,0,0,0,1,3,0,public
0,1,0,3,18,0,1,1,1,1,2,0,1,10,0,0,0,0,0,4,106,585,3,15,0,8,1,other,0,0,0,4,0,0,0,4,public
0,0,0,1,8,0,0,1,0,1,2,0,1,10,0,0,0,0,0,4,106,585,3,15,0,8,1,other,0,0,0,4,0,0,0,4,public
0,0,0,2,14,0,0,0,0,1,2,0,1,10,0,0,0,0,0,4,106,585,3,15,0,8,1,other,0,0,0,4,0,0,0,4,public
0,1,0,2,31,0,9,0,0.9,1,2,0,1,10,0,0,0,0,0,4,106,585,3,15,0,8,1,other,0,0,0,4,0,0,0,4,public
0,3,0,1,7,1,0,0,0,0,1,2,1,1,0.5,0,0,0,0,4,106,585,3,4,1,2,1,other,0,3,0,0,3,0,0,0,package
0,1,5,3,22,0,1,0,0.5,0,2.636363636,3,1,3,1,0,0,1,1,5,451,585,3,18,0,29,0.888888889,final,0,3,0,0,0,3,0,0,protected
0,2,0,5,79,1,4,1,1,0,2.5,10,2,4,0.6,0,14,0,0,0,34,629,13,34,0.5,10,1,other,1,4,0,0,0,5,2,0,public
0,0,0,3,15,1,0,0,0,0,2.5,10,2,4,0.6,0,14,0,0,0,34,629,13,34,0.5,10,1,other,1,4,0,0,0,5,2,0,public
0,1,0,2,12,1,0,0,0,0,2.5,10,2,4,0.6,0,14,0,0,0,34,629,13,34,0.5,10,1,other,1,4,0,0,0,5,2,0,public
0,0,0,1,3,0,0,0,0,0,2.5,10,2,4,0.6,0,14,0,0,0,34,629,13,34,0.5,10,1,other,1,4,0,0,0,5,2,0,public
0,1,2,3,32,0,1,0,1,0,6,3,1,1,0,0,0,0,1,0,34,629,13,2,1,6,0,other,0,0,1,0,0,0,0,0,package
2,3,0,6,134,0.636363636,1,13,1,0,3.873015873,3,2,5,0.95371669,0,0,9,3,0,101,629,13,77,0.383503401,244,0,abstract,9,14,0,1,0,4,19,1,public
2,3,3,6,122,0.5,2,10,0.5,0,3.873015873,3,2,5,0.95371669,0,0,9,3,0,101,629,13,77,0.383503401,244,0,abstract,9,14,0,1,0,4,19,1,public
0,0,0,1,4,1,1,0,1,0,1.545454545,0,1,1,0.3,0,0,0,0,0,16,641,14,12,0.622222222,17,1,other,0,1,0,0,0,1,0,0,public
0,0,0,1,3,1,0,0,0,0,1.545454545,0,1,1,0.3,0,0,0,0,0,16,641,14,12,0.622222222,17,1,other,0,1,0,0,0,1,0,0,public
0,0,0,1,3,0,1,0,1,0,1.545454545,0,1,1,0.3,0,0,0,0,0,16,641,14,12,0.622222222,17,1,other,0,1,0,0,0,1,0,0,public
0,1,0,2,6,1,0,0,0,0,1.545454545,0,1,1,0.3,0,0,0,0,0,16,641,14,12,0.622222222,17,1,other,0,1,0,0,0,1,0,0,public
0,1,0,2,10,1,0,0,0,0,1.545454545,0,1,1,0.3,0,0,0,0,0,16,641,14,12,0.622222222,17,1,other,0,1,0,0,0,1,0,0,public
2,2,10,6,181,0.166666667,9,1,0.375,0,7.285714286,13,1,12,0.866666667,0,0,1,0,4,112,641,14,38,0.2,51,0.75,other,0,5,0,0,0,5,2,1,public
2,1,14,8,110,0.066666667,7,0,0.388888889,0,3.714285714,9,1,7,0.833333333,2,0,0,3,0,45,641,14,25,0.066666667,26,1,other,0,1,0,0,0,1,0,0,private
0,4,1,3,22,0.75,1,1,1,0,2.222222222,3,1,4,0.825,0,0,0,0,0,26,689,3,13,1,20,1,other,2,3,0,2,0,5,0,2,public
0,1,1,2,18,0.75,1,0,1,0,2.222222222,3,1,4,0.825,0,0,0,0,0,26,689,3,13,1,20,1,other,2,3,0,2,0,5,0,2,public
0,0,0,2,13,1,0,0,0,0,2.222222222,3,1,4,0.825,0,0,0,0,0,26,689,3,13,1,20,1,other,2,3,0,2,0,5,0,2,public
0,3,0,2,13,1,0,2,0,0,2.222222222,3,1,4,0.825,0,0,0,0,0,26,689,3,13,1,20,1,other,2,3,0,2,0,5,0,2,public
0,2,6,5,23,0.142857143,1,0,0.166666667,0,2.055555556,3,1,2,0.803921569,0,0,6,0,16,463,689,3,40,0.428571429,37,0.666666667,other,0,6,0,0,0,6,0,0,public
0,1,1,1,5,0.666666667,1,0,1,0,1,9,6,2,0,0,45,0,0,0,159,780,3,18,0,5,1,final,0,0,0,0,0,0,3,0,public
0,0,0,1,3,1,0,0,0,0,1,9,6,2,0,0,45,0,0,0,159,780,3,18,0,5,1,final,0,0,0,0,0,0,3,0,public
0,0,0,1,3,1,0,0,0,0,1,9,6,2,0,0,45,0,0,0,159,780,3,18,0,5,1,final,0,0,0,0,0,0,3,0,public
0,0,0,1,3,1,0,0,0,0,1,9,6,2,0,0,45,0,0,0,159,780,3,18,0,5,1,final,0,0,0,0,0,0,3,0,public
0,0,0,1,3,0,1,0,1,0,1,9,6,2,0,0,45,0,0,0,159,780,3,18,0,5,1,final,0,0,0,0,0,0,3,0,public
2,0,4,6,119,0.833333333,2,4,1,0,8.895522388,55,3,14,0.997379813,0,52,1,1,4,408,780,3,157,0.938942308,1192,0.084507042,other,65,1,0,0,0,1,63,64,public
2,0,4,9,267,0.8,5,10,0.833333333,0,8.895522388,55,3,14,0.997379813,0,52,1,1,4,408,780,3,157,0.938942308,1192,0.084507042,other,65,1,0,0,0,1,63,64,public
0,2,0,1,6,1,0,0,0,0,6.857142857,6,1,6,1,0,0,0,1,1,41,713,4,23,0,48,1,other,0,6,0,0,6,0,0,0,public
0,2,0,3,16,1,1,1,1,0,6.857142857,6,1,6,1,0,0,0,1,1,41,713,4,23,0,48,1,other,0,6,0,0,6,0,0,0,public
0,5,15,2,17,0,1,0,0.2,0,2,5,1,1,0,0,0,0,1,0,385,713,4,6,1,2,1,other,0,0,1,0,0,0,0,0,package
0,2,0,1,4,1,0,0,0,0,4.181818182,0,1,0,0.933333333,0,0,0,0,0,11,808,7,11,1,46,1,other,2,1,0,1,0,3,0,1,public
0,1,0,1,8,1,0,1,0,0,4.181818182,0,1,0,0.933333333,0,0,0,0,0,11,808,7,11,1,46,1,other,2,1,0,1,0,3,0,1,public
0,1,0,1,7,1,0,0,0,0,4.181818182,0,1,0,0.933333333,0,0,0,0,0,11,808,7,11,1,46,1,other,2,1,0,1,0,3,0,1,public
0,1,0,1,10,1,0,0,0,0,4.181818182,0,1,0,0.933333333,0,0,0,0,0,11,808,7,11,1,46,1,other,2,1,0,1,0,3,0,1,public
0,1,0,2,23,1,0,0,0,0,4.181818182,0,1,0,0.933333333,0,0,0,0,0,11,808,7,11,1,46,1,other,2,1,0,1,0,3,0,1,public
0,2,10,6,50,0,1,2,0.2,1,5.411764706,39,3,8,0,0,25,0,0,1,133,808,7,79,1,92,0,other,0,0,0,17,0,0,0,17,public
0,4,0,1,5,0,1,1,1,0,2.647058824,6,7,7,0.89375,0,0,0,2,1,165,703,7,39,0.363636364,45,0,abstract,0,10,0,0,0,10,4,0,public
0,4,0,1,5,0,1,1,1,0,2.647058824,6,7,7,0.89375,0,0,0,2,1,165,703,7,39,0.363636364,45,0,abstract,0,10,0,0,0,10,4,0,public
0,1,0,1,4,0,0,2,0,0,2.647058824,6,7,7,0.89375,0,0,0,2,1,165,703,7,39,0.363636364,45,0,abstract,0,10,0,0,0,10,4,0,public
0,1,0,1,4,0,0,2,0,0,2.647058824,6,7,7,0.89375,0,0,0,2,1,165,703,7,39,0.363636364,45,0,abstract,0,10,0,0,0,10,4,0,public
0,0,1,1,5,1,1,1,1,0,2.647058824,6,7,7,0.89375,0,0,0,2,1,165,703,7,39,0.363636364,45,0,abstract,0,10,0,0,0,10,4,0,public
3,7,9,8,402,0.25,2,4,0.666666667,0,7.3125,4,1,5,0.866666667,0,0,5,1,2,154,703,7,24,0.714285714,117,0.5,other,1,3,0,0,0,4,0,0,public
0,1,0,1,6,0,1,1,1,0,1.5,5,2,1,0,0,6,0,0,0,20,1031,28,11,0,3,1,other,0,0,1,0,0,0,0,0,public
0,1,0,1,6,0,1,0,1,0,2,5,2,1,0,0,6,0,0,0,20,1031,28,10,1,2,1,other,0,0,1,0,0,0,0,0,public
0,1,0,1,4,1,0,0,0,0,1.8,7,3,2,0.75,0,18,2,0,3,56,1064,18,27,0.6,9,0.6,other,0,4,0,0,0,4,0,0,public
0,1,0,1,4,1,0,0,0,0,1.8,7,3,2,0.75,0,18,2,0,3,56,1064,18,27,0.6,9,0.6,other,0,4,0,0,0,4,0,0,public
0,3,0,1,6,1,1,0,1,0,1.8,7,3,2,0.75,0,18,2,0,3,56,1064,18,27,0.6,9,0.6,other,0,4,0,0,0,4,0,0,public
0,0,0,4,29,1,2,0,1,0,1.8,7,3,2,0.75,0,18,2,0,3,56,1064,18,27,0.6,9,0.6,other,0,4,0,0,0,4,0,0,public
2,3,0,6,160,0,0,0,0,1,10,2,1,1,0,0,0,0,0,4,78,1064,18,5,0,40,1,final,0,0,0,3,0,0,0,3,public
0,2,0,1,6,1,0,0,0,0,1.5,0,3,0,1,0,63,0,0,0,78,1199,9,2,1,3,1,other,0,1,0,0,0,1,1,0,public
0,1,0,1,8,1,0,0,0,0,1.5,0,3,0,1,0,63,0,0,0,78,1199,9,2,1,3,1,other,0,1,0,0,0,1,1,0,public
0,0,0,1,4,1,0,0,0,0,10.53333333,27,1,23,0.896551724,0,0,6,5,0,78,1199,9,69,0.636842105,316,0.535714286,other,0,8,0,0,0,0,1,0,public
0,0,0,1,12,1,1,1,1,0,10.53333333,27,1,23,0.896551724,0,0,6,5,0,78,1199,9,69,0.636842105,316,0.535714286,other,0,8,0,0,0,0,1,0,public
3,3,4,8,244,0.333333333,10,5,1,0,10.53333333,27,1,23,0.896551724,0,0,6,5,0,78,1199,9,69,0.636842105,316,0.535714286,other,0,8,0,0,0,0,1,0,public
2,4,1,6,120,0.5,5,3,0.714285714,0,8.431818182,33,1,26,0.863787375,0,0,3,1,0,78,1199,9,95,0.685606061,371,0.914285714,other,0,6,0,0,0,7,0,0,public
0,1,0,1,6,1,0,0,0,1,3.923076923,4,2,3,0.683333333,0,3,0,0,0,38,1278,16,19,0.755555556,51,1,other,0,4,0,2,0,5,0,2,public
0,1,0,1,3,1,0,0,0,1,3.923076923,4,2,3,0.683333333,0,3,0,0,0,38,1278,16,19,0.755555556,51,1,other,0,4,0,2,0,5,0,2,public
0,2,0,1,6,1,0,0,0,0,3.923076923,4,2,3,0.683333333,0,3,0,0,0,38,1278,16,19,0.755555556,51,1,other,0,4,0,2,0,5,0,2,public
0,0,0,2,5,1,0,1,0,0,3.923076923,4,2,3,0.683333333,0,3,0,0,0,38,1278,16,19,0.755555556,51,1,other,0,4,0,2,0,5,0,2,public
0,4,0,3,98,1,2,2,1,0,2.466666667,5,1,6,0.92364532,0,0,22,0,1,103,1278,16,36,0.192118227,74,0.24137931,other,0,14,0,0,0,14,0,0,public
0,3,0,1,7,0,3,1,1,1,3.5,9,1,14,0.866666667,0,0,0,0,1,25,1271,10,42,0.622222222,56,1,final,1,0,0,15,0,1,0,15,public
0,3,0,1,7,0,3,1,1,1,3.5,9,1,14,0.866666667,0,0,0,0,1,25,1271,10,42,0.622222222,56,1,final,1,0,0,15,0,1,0,15,public
0,3,0,3,20,0,1,1,1,1,3.5,9,1,14,0.866666667,0,0,0,0,1,25,1271,10,42,0.622222222,56,1,final,1,0,0,15,0,1,0,15,public
0,3,0,2,10,0,1,1,1,1,3.5,9,1,14,0.866666667,0,0,0,0,1,25,1271,10,42,0.622222222,56,1,final,1,0,0,15,0,1,0,15,public
2,1,0,6,80,1,4,3,0.666666667,0,3.375,7,4,5,0.891666667,0,0,9,0,0,32,1271,10,27,0.20952381,54,0,abstract,2,6,0,0,0,8,10,0,public
2,3,0,6,147,1,2,3,0.285714286,0,8.333333333,2,1,3,0.642857143,0,0,0,0,0,124,1271,10,22,1,75,0,final,7,0,0,1,0,7,0,1,package
2,1,4,7,164,0.666666667,13,6,0.684210526,0,4.451612903,27,1,23,0.811111111,0,0,0,1,0,247,1271,10,82,0.405797101,138,1,final,7,2,0,0,1,8,0,0,public
0,3,0,1,4,1,0,0,0,0,1.833333333,0,4,1,1,0,45,0,0,0,7,1302,15,7,0,11,1,other,1,0,0,0,0,1,1,0,public
0,1,0,2,7,0,0,1,0,0,1.833333333,0,4,1,1,0,45,0,0,0,7,1302,15,7,0,11,1,other,1,0,0,0,0,1,1,0,public
0,1,0,2,7,0,0,1,0,0,1.833333333,0,4,1,1,0,45,0,0,0,7,1302,15,7,0,11,1,other,1,0,0,0,0,1,1,0,public
0,2,0,3,19,0,1,0,1,0,1.833333333,0,4,1,1,0,45,0,0,0,7,1302,15,7,0,11,1,other,1,0,0,0,0,1,1,0,public
0,4,6,1,13,0.454545455,1,1,1,0,10.52941176,10,1,7,0.825892857,0,0,2,0,0,37,1404,12,49,0.722222222,179,0.75,other,3,19,0,1,9,10,0,1,public
0,0,4,2,20,0.636363636,1,0,1,0,10.52941176,10,1,7,0.825892857,0,0,2,0,0,37,1404,12,49,0.722222222,179,0.75,other,3,19,0,1,9,10,0,1,public
0,0,3,3,40,0.7,1,1,0.5,0,10.52941176,10,1,7,0.825892857,0,0,2,0,0,37,1404,12,49,0.722222222,179,0.75,other,3,19,0,1,9,10,0,1,public
2,2,29,5,108,0.064516129,3,2,0.230769231,0,10.52941176,10,1,7,0.825892857,0,0,2,0,0,37,1404,12,49,0.722222222,179,0.75,other,3,19,0,1,9,10,0,1,public
2,1,17,5,136,0.227272727,2,3,0.153846154,0,10.52941176,10,1,7,0.825892857,0,0,2,0,0,37,1404,12,49,0.722222222,179,0.75,other,3,19,0,1,9,10,0,1,public
2,2,15,4,120,0,5,0,0.294117647,0,4.833333333,18,2,5,1,0,26,2,0,0,274,1404,12,88,0,29,0.6,other,3,0,0,1,0,3,0,1,public
3,4,0,11,406,1,0,0,0,1,14.25,0,1,0,0.987878788,0,0,0,0,0,68,1404,12,12,0.681818182,171,1,final,15,0,0,2,15,0,0,12,public
0,1,0,1,4,1,0,0,0,0,5.9375,19,1,18,1,0,0,0,0,0,30,1450,15,107,1,95,1,other,12,1,0,1,1,14,0,1,public
0,0,0,1,3,1,0,0,0,0,5.9375,19,1,18,1,0,0,0,0,0,30,1450,15,107,1,95,1,other,12,1,0,1,1,14,0,1,public
0,2,0,2,20,1,0,2,0,0,5.9375,19,1,18,1,0,0,0,0,0,30,1450,15,107,1,95,1,other,12,1,0,1,1,14,0,1,public
0,2,0,2,30,1,2,3,1,0,5.9375,19,1,18,1,0,0,0,0,0,30,1450,15,107,1,95,1,other,12,1,0,1,1,14,0,1,public
2,1,35,7,143,0.166666667,5,4,0.192307692,0,5.9375,19,1,18,1,0,0,0,0,0,30,1450,15,107,1,95,1,other,12,1,0,1,1,14,0,1,public
2,1,12,10,102,0.076923077,4,0,0.222222222,0,5.9375,19,1,18,1,0,0,0,0,0,30,1450,15,107,1,95,1,other,12,1,0,1,1,14,0,1,public
3,0,24,8,374,0.076923077,8,3,0.363636364,0,19,11,1,8,0.75,0,0,1,0,0,263,1450,15,33,1,114,1,other,0,4,0,0,0,4,0,0,public
0,2,0,1,3,0,0,0,0,0,1,3,1,1,0,0,0,0,1,0,12,1447,21,3,0,2,1,other,0,0,1,0,0,0,0,0,public
0,7,0,1,6,0,1,0,1,0,1,3,1,1,0,0,0,0,1,0,12,1447,21,3,0,2,1,other,0,0,1,0,0,0,0,0,public
0,0,0,1,5,1,0,1,0,0,1,3,1,2,0,0,0,0,1,0,12,1447,21,6,1,4,1,other,0,4,0,0,0,4,0,0,public
0,2,0,1,7,1,1,1,1,0,1,3,1,2,0,0,0,0,1,0,12,1447,21,6,1,4,1,other,0,4,0,0,0,4,0,0,public
0,0,0,1,4,1,0,0,0,0,1,3,1,2,0,0,0,0,1,0,12,1447,21,6,1,4,1,other,0,4,0,0,0,4,0,0,public
3,2,2,7,241,0.666666667,2,1,1,0,7.833333333,4,1,3,0.5,0,0,3,0,0,89,1447,21,21,0.933333333,94,0.625,other,0,4,0,1,0,4,0,1,public
0,2,11,2,38,0.153846154,5,1,0.277777778,0,1.4,7,1,6,0.625,0,0,0,1,0,94,1447,21,31,1,7,1,other,0,4,0,0,0,4,1,0,public
3,12,3,6,214,0.5625,4,5,0.571428571,0,8.538461538,12,1,11,0.905555556,0,0,0,1,0,37,1447,21,44,0.666666667,111,1,other,8,5,0,7,0,15,0,7,public
2,5,5,6,102,0.619047619,6,1,0.4,0,7.714285714,17,1,16,0.87037037,0,0,0,1,0,27,1447,21,56,1,54,1,other,0,27,0,0,0,27,0,0,public
0,1,0,1,3,1,0,0,0,0,1.75,11,1,9,0.863636364,0,0,0,0,0,112,1593,30,34,0.890909091,21,1,other,1,1,0,0,0,1,1,0,public
0,1,0,1,6,0,2,0,1,0,1.333333333,3,1,3,1,0,0,2,0,1,34,1475,19,12,0,12,0.75,other,0,3,0,0,0,3,0,0,public
0,1,0,1,6,0,2,0,1,0,1.333333333,3,1,3,1,0,0,2,0,1,34,1475,19,12,0,12,0.75,other,0,3,0,0,0,3,0,0,public
0,2,2,1,7,0,0,0,0,0,1.333333333,3,1,3,1,0,0,2,0,1,34,1475,19,12,0,12,0.75,other,0,3,0,0,0,3,0,0,public
0,0,1,1,4,0,1,0,1,0,1.333333333,3,1,3,1,0,0,2,0,1,34,1475,19,12,0,12,0.75,other,0,3,0,0,0,3,0,0,public
0,3,6,2,18,0,2,0,1,0,1.806451613,11,2,10,1,0,0,2,3,2,432,1475,19,53,0,56,0,abstract,2,9,0,0,1,10,0,0,public
0,4,7,1,20,0,1,0,1,0,2,6,1,6,1,0,0,0,1,0,293,1475,19,21,0,26,1,other,0,8,0,0,0,8,0,0,package
0,1,0,1,4,1,1,0,1,0,1.25,2,1,2,0.142857143,0,0,0,1,3,130,1805,26,16,1,10,1,final,0,1,0,0,0,1,0,0,package
0,0,0,1,4,1,1,0,1,0,1.25,2,1,2,0.142857143,0,0,0,1,3,130,1805,26,16,1,10,1,final,0,1,0,0,0,1,0,0,package
0,0,0,1,4,1,1,0,1,0,1.25,2,1,2,0.142857143,0,0,0,1,3,130,1805,26,16,1,10,1,final,0,1,0,0,0,1,0,0,package
0,0,0,2,16,1,1,0,1,0,1.25,2,1,2,0.142857143,0,0,0,1,3,130,1805,26,16,1,10,1,final,0,1,0,0,0,1,0,0,package
2,1,0,8,284,0.466666667,5,4,0.263157895,0,10,4,1,7,0.895833333,0,0,0,1,3,64,1805,26,49,1,90,1,final,9,0,0,4,0,9,0,4,package
2,1,3,8,104,0.5,3,1,0.428571429,1,4.565217391,11,1,8,0.944444444,0,0,0,0,5,117,1805,26,42,0.114285714,105,0,abstract,9,0,0,22,0,7,0,22,public
0,2,10,2,51,0.166666667,4,0,0.571428571,0,2.25,8,2,4,1,0,3,0,0,0,105,1805,26,16,0.333333333,9,0,final,2,0,0,0,0,2,0,0,package
2,4,16,9,169,0.448275862,17,0,0.80952381,0,5.620689655,58,3,38,0.975913621,2,4,3,1,0,29,1805,26,154,0.80952381,163,0.875,final,40,4,0,7,0,44,0,7,public
2,4,12,6,159,0.523809524,15,0,0.416666667,0,7.75,25,2,19,0.733333333,0,0,0,1,10,137,1805,26,44,0.5,31,0,abstract,1,10,0,1,0,1,1,1,public
0,1,0,1,4,0,1,0,1,0,1,9,2,2,0,0,4,0,0,0,143,2118,22,22,1,2,1,final,0,0,0,0,0,0,0,0,public
